id,balls_per_over,team,team_1,gender,season,date,event,match_number,venue,city,toss_winner,toss_decision,player_of_match,umpire,umpire_2,reserve_umpire,tv_umpire,match_referee,winner,winner_runs,winner_wickets,Column1
403386,6,Sri Lanka,New Zealand,male,2009,04-09-09,New Zealand in Sri Lanka T20I Series,2,R Premadasa Stadium,Colombo,New Zealand,bat,JD Ryder,MG Silva,TH Wijewardene,SH Sarathkumara,HDPK Dharmasena,AJ Pycroft,New Zealand,22,,2.1.0
406197,6,Australia,West Indies,male,2009/10,21-02-10,West Indies in Australia T20I Series,1,Bellerive Oval,Hobart,Australia,bat,SW Tait,BNJ Oxenford,PR Reiffel,SG John,RJ Tucker,J Srinath,Australia,38,,2.1.0
406198,6,Australia,West Indies,male,2009/10,23-02-10,West Indies in Australia T20I Series,2,Sydney Cricket Ground,,West Indies,bat,DA Warner,BNJ Oxenford,RJ Tucker,GA Abood,PR Reiffel,J Srinath,Australia,,8,2.1.0
406207,6,Australia,Pakistan,male,2009/10,05-02-10,,,Melbourne Cricket Ground,,Australia,bat,SW Tait,PR Reiffel,RJ Tucker,AP Ward,BNJ Oxenford,RS Madugalle,Australia,2,,2.1.0
412677,6,West Indies,Ireland,male,2010,30-04-10,ICC World Twenty20,2,Providence Stadium,Guyana,West Indies,bat,DJG Sammy,Asad Rauf,BF Bowden,RE Koertzen,AL Hill,AG Hurst,West Indies,70,,2.1.0
412678,6,New Zealand,Sri Lanka,male,2010,30-04-10,ICC World Twenty20,1,Providence Stadium,Guyana,Sri Lanka,bat,NL McCullum,SJ Davis,RE Koertzen,IJ Gould,BR Doctrove,AG Hurst,New Zealand,,2,2.1.0
412679,6,Afghanistan,India,male,2010,01-05-10,ICC World Twenty20,3,"Beausejour Stadium, Gros Islet",St Lucia,India,field,A Nehra,Aleem Dar,M Erasmus,EAR de Silva,SJA Taufel,RS Madugalle,India,,7,2.1.0
412680,6,Bangladesh,Pakistan,male,2010,01-05-10,ICC World Twenty20,4,"Beausejour Stadium, Gros Islet",St Lucia,Pakistan,bat,Salman Butt,EAR de Silva,RJ Tucker,M Erasmus,SK Tarapore,RS Madugalle,Pakistan,21,,2.1.0
412681,6,England,Ireland,male,2010,04-05-10,ICC World Twenty20,10,Providence Stadium,Guyana,Ireland,field,,BF Bowden,AL Hill,SJ Davis,Asad Rauf,AG Hurst,,,,2.1.0
412682,6,India,South Africa,male,2010,02-05-10,ICC World Twenty20,5,"Beausejour Stadium, Gros Islet",St Lucia,South Africa,field,SK Raina,Aleem Dar,SJA Taufel,SK Tarapore,RJ Tucker,RS Madugalle,India,14,,2.1.0
